iata,icao,name,country
0V,VFC,VASCO,Vietnam
2K,GLG,Avianca Ecuador,Ecuador
2L,OAW,Helvetic Airways,Switzerland
2N,UMK,Yuzhmashavia,Ukraine
2P,GAP,PAL Express,Philippines
2T,TBS,Timbis Air,Kenya
2Z,PTB,Voepass,Brazil
3F,FIE,FlyOne Armenia,Armenia
3K,JSA,Jetstar Asia Airways,Singapore
3L,ADY,Air Arabia Abu Dhabi,United Arab Emirates
3M,SIL,Silver Airways,United States
3N,URG,Air Urga,Ukraine
3O,MAC,Air Arabia Maroc,Morocco
3S,BOX,Aerologic,Germany
3U,CSC,Sichuan Airlines,China
3V,TAY,ASL Airlines Belgium,Belgium
3W,MWI,Malawi Airlines,Malawi
3X,JAC,Japan Air Commuter,Japan
3Z,TVP,Smartwings Poland,Poland
4A,AKL,Air Kiribati,Kiribati
4B,BTQ,Boutique Air,United States
4C,ARE,LATAM Colombia,Colombia
4G,GZP,Gazpromavia,Russia
4Y,OCN,Discover Airlines,Germany
4Z,LNK,Airlink,South Africa
5A,AIP,Alpine Air Express,United States
5D,SLI,Aeroméxico Connect,Mexico
5F,FIA,FlyOne,Moldova
5J,CEB,Cebu Pacific,Philippines
5K,HFY,Hi Fly,Portugal
5M,MNT,Montserrat Airways,Montserrat
5N,AUL,Nordavia,Russia
5R,RUC,Rutaca,Venezuela
5W,WAZ,Wizz Air Abu Dhabi,United Arab Emirates
5X,UPS,United Parcel Service,United States
5Y,GTI,Atlas Air,United States
5Z,KEM,CemAir,South Africa
6A,AMW,Armenia Airways,Armenia
6B,BLX,TUI fly Nordic,Sweden
6D,TVQ,Smartwings Slovakia,Slovakia
6E,IGO,IndiGo,India
6G,RLX,Go2Sky,Slovakia
6H,ISR,Israir,Israel
6J,SNJ,Solaseed Air,Japan
6N,NIN,Niger Airlines,Niger
6R,TNO,AeroUnion,Mexico
6Y,ART,Smartlynx Airlines,Latvia
7C,JJA,Jeju Air,Republic of Korea
7E,AWU,Sylt Air GmbH,Germany
7F,AKT,Canadian North,Canada
7G,SFJ,Star Flyer,Japan
7H,RVF,Ravn Alaska,United States
7L,AZG,Silk Way West Airlines,Azerbaijan
7O,TVL,Smartwings Hungary,Hungary
7T,AGV,Air Glaciers,Switzerland
7W,QGA,Windrose Air,Germany
8D,EXV,FitsAir,Sri Lanka
8E,BRG,Bering Air,United States
8H,BGH,BH Air,Bulgaria
8M,MMA,Myanmar Airways International,Myanmar
8P,PCO,Pacific Coastal Airlines,Canada
8T,TID,Air Tindi,Canada
8U,AAW,Afriqiyah Airways,Libya
8V,WRF,Wright Air Service,United States
8W,EDR,Fly All Ways,Suriname
8Y,CYZ,China Postal Airlines,China
9C,CQH,Spring Airlines,China
9E,EDV,Endeavor Air,United States
9I,LLR,Air India Regional,India
9K,KAP,Cape Air,United States
9M,GLR,Central Mountain Air,Canada
9P,FJL,Fly Jinnah,Pakistan
9Y,NAE,National Airways Ethiopia,Ethiopia
A0,MCJ,Avianca Argentina,Argentina
A2,AWG,Animawings,Romania
A3,AEE,Aegean Airlines,Greece
A5,HOP,Hop!,France
A6,HTU,Hongtu Airlines,China
A8,XAU,Aerolink Uganda,Uganda
A9,TGZ,Georgian Airways,Georgia
AA,AAL,American Airlines,United States
AC,ACA,Air Canada,Canada
AD,AZU,Azul Linhas Aéreas Brasileiras,Brazil
AE,MDA,Mandarin Airlines,Taiwan
AF,AFR,Air France,France
AG,ARU,Aruba Airlines,Aruba
AH,DAH,Air Algérie,Algeria
AI,AIC,Air India,India
AK,AXM,AirAsia,Malaysia
AL,TXC,TAE Avia,Belarus
AM,AMX,Aeroméxico,Mexico
AN,WSN,Advanced Air,United States
AP,LAV,AlbaStar,Spain
AQ,JYH,9 Air,China
AR,ARG,Aerol?neas Argentinas,Argentina
AS,ASA,Alaska Airlines,United States
AT,RAM,Royal Air Maroc,Morocco
AV,AVA,Avianca,Colombia
AW,AFW,Africa World Airlines,Ghana
AY,FIN,Finnair,Finland
AZ,ITY,ITA Airways,Italy
B2,BRU,Belavia,Belarus
B3,BTN,Bhutan Airlines,Bhutan
B6,JBU,JetBlue Airways,United States
B7,UIA,UNI Air,Taiwan
B8,ERT,Eritrean Airlines,Eritrea
B9,IRB,Iran Airtour,Iran
BA,BAW,British Airways,United Kingdom
BB,SBS,Seaborne Airlines,United States
BC,SKY,Skymark Airlines,Japan
BF,RSR,Aero-Service,Republic of the Congo
BG,BBC,Biman Bangladesh Airlines,Bangladesh
BI,RBA,Royal Brunei Airlines,Brunei
BJ,LBT,Nouvel Air Tunisie,Tunisia
BL,PIC,Pacific Airlines,Vietnam
BP,BOT,Air Botswana,Botswana
BQ,SWU,Sky Alps,Italy
BR,EVA,EVA Air,Taiwan
BS,UBG,US-Bangla Airlines,Bangladesh
BT,BTI,Air Baltic,Latvia
BW,BWA,Caribbean Airlines,Trinidad and Tobago
BX,ABL,Air Busan,South Korea
BY,TOM,TUI Airways,United Kingdom
BZ,BDA,Blue Dart Aviation,India
C5,UCA,CommutAir,United States
CA,CCA,Air China,China
CD,CND,Corendon Dutch Airlines,Netherlands
CG,TOK,Airlines PNG,Papua New Guinea
CH,BMJ,Bemidji Airlines,United States
CI,CAL,China Airlines,Taiwan
CJ,CFE,BA CityFlyer,United Kingdom
CL,CLH,Lufthansa CityLine,Germany
CM,CMP,Copa Airlines,Panama
CO,COA,Continental Airlines,United States
CU,CUB,Cubana,Cuba
CV,CVA,Air Chathams,New Zealand
CW,CWM,Air Marshall Islands,Marshall Islands
CX,CPA,Cathay Pacific,Hong Kong
CY,CYP,Cyprus Airways,Cyprus
CZ,CSN,China Southern Airlines,China
D0,DHK,DHL Air Limited,United Kingdom
D2,SSF,Severstal Avia,Russia
D3,DAO,Daallo Airlines,Djibouti
D4,LID,Alidaunia,Italy
D7,XAX,AirAsia X,Malaysia
D8,NSZ,Norwegian Air Sweden,Sweden
DA,GRG,Air Georgia,Georgia
TF,BRX,Braathens Regional Airways,Sweden
DD,NOK,Nok Air,Thailand
DE,CFG,Condor,Germany
DG,SRQ,Cebgo,Philippines
DJ,SRR,Star Air,Denmark
DL,DAL,Delta Air Lines,United States
DP,PBD,Pobeda,Russia
DS,EZS,easyJet Switzerland,Switzerland
DT,DTA,TAAG Angola Airlines,Angola
DV,VSV,Scat Air,Kazakhstan
DX,DTR,DAT,Denmark
DY,NOZ,Norwegian Air Shuttle,Norway
DZ,EPA,Donghai Airlines,China
E5,RBG,Air Arabia Egypt,Egypt
E6,EWL,Eurowings Europe,Malta
EA,EAI,Emerald Airlines,Ireland
EC,EJU,easyJet Europe,Austria
ED,AXE,AirExplore,Slovakia
EG,EUK,Aer Lingus UK,United Kingdom
EI,EIN,Aer Lingus,Ireland
EJ,NEA,New England Airlines,United States
EK,UAE,Emirates Airlines,United Arab Emirates
EM,CFS,Empire Airlines,United States
EN,DLA,Air Dolomiti,Italy
EP,IRC,Iran Aseman Airlines,Iran
ES,DHX,DHL International,Bahrain
ET,ETH,Ethiopian Airlines,Ethiopia
EW,EWG,Eurowings,Germany
EY,ETD,Etihad Airways,United Arab Emirates
EZ,SUS,Sun Air of Scandinavia,Denmark
F3,FSW,Faso Airways,Burkina Faso
F8,FLE,Flair Airlines,Canada
F9,FFT,Frontier Airlines,United States
FA,SFR,Safair,South Africa
FB,LZB,Bulgaria Air,Bulgaria
FD,AIQ,Thai AirAsia,Thailand
FG,AFG,Ariana Afghan Airlines,Afghanistan
FH,FHY,Freebird Airlines,Turkey
FI,ICE,Icelandair,Iceland
FJ,FJI,Fiji Airways,Fiji
FK,KEW,Keewatin Air,Canada
FM,CSH,Shanghai Airlines,China
FN,RGL,Regional Air Lines,Morocco
FO,FBZ,Flybondi,Argentina
FR,RYR,Ryanair,Ireland
FV,SDM,Rossiya,Russia
FW,IBX,Ibex Airlines,Japan
FX,FDX,FedEx Express,United States
FY,FFM,Firefly,Malaysia
FZ,FDB,Flydubai,UAE
G3,GLO,Gol Transportes Aéreos,Brazil
G4,AAY,Allegiant Air,United States
G5,HXA,China Express Airlines,China
G7,GJS,GoJet Airlines,United States
G9,ABY,Air Arabia,United Arab Emirates
GA,GIA,Garuda Indonesia,Indonesia
GC,GNR,Gambia International Airlines,Gambia
GF,GFA,Gulf Air,Bahrain
GI,LHA,Longhao Airlines,China
GJ,CDC,Loong Air,China
GK,JJP,Jetstar Japan,Japan
GL,GRL,Air Greenland,Greenland
GM,GSW,Chair Airlines,Switzerland
GP,RIV,APG Airlines,France
GR,AUR,Aurigny,United Kingdom
GS,GCR,Tianjin Airlines,China
GV,GUN,Grant Aviation,United States
GZ,RAR,Air Rarotonga,Cook Islands
H2,SKU,Sky Airline,Chile
H4,HYS,HiSky Europe,Romania
H7,HYM,HiSky,Moldova
H9,HIM,Himalaya Airlines,Nepal
HA,HAL,Hawaiian Airlines,United States
HB,HGB,Greater Bay Airlines,Hong Kong
HC,SZN,Air Senegal,Senegal
HD,ADO,AIRDO,Japan
HM,SEY,Air Seychelles,Seychelles
HO,DKH,Juneyao Air,China
HR,HHN,Hahn Air,Germany
HU,CHH,Hainan Airlines,China
HV,TRA,Transavia Holland,Netherlands
HW,UBD,FlyErbil,Iraqi Kurdistan
HX,CRK,Hong Kong Airlines,Hong Kong
HY,UZB,Uzbekistan Airways,Uzbekistan
HZ,SHU,Aurora,Russia
I2,IBS,Iberia Express,Spain
IA,IAW,Iraqi Airways,Iraq
IB,IBE,Iberia Airlines,Spain
ID,BTK,Batik Air,Indonesia
IE,SOL,Solomon Airlines,Solomon Islands
II,CSQ,IBC Airways,United States
IJ,SJO,Spring Airlines Japan,Japan
IK,KAR,Ikar,Russian Federation
IN,NIH,NAM Air,Indonesia
IR,IRA,Iran Air,Iran
IT,TTW,Tigerair Taiwan,Taiwan
IW,WON,Wings Air,Indonesia
IX,AXB,Air India Express,India
IY,IYE,Yemenia,Yemen
IZ,AIZ,Arkia Israel Airlines,Israel
J2,AHY,Azerbaijan Airlines,Azerbaijan
J3,PLR,Northwestern Air,Canada
J4,BDR,Badr Airlines,Sudan
J0,BFL,Buffalo Airways,Canada
J8,BVT,Berjaya Air,Malaysia
J9,JZR,Jazeera Airways,Kuwait
JA,JAT,JetSMART,Chile
JD,CBJ,Beijing Capital Airlines,China
JH,FDA,Fuji Dream Airlines,Japan
JJ,TAM,LATAM Brasil,Brazil
JL,JAL,Japan Airlines,Japan
JQ,JST,Jetstar,Australia
JS,KOR,Air Koryo,North Korea
JT,LNI,Lion Air,Indonesia
JU,ASL,Air Serbia,Serbia
JV,BLS,Bearskin Airlines,Canada
JX,SJX,Starlux Airlines,Taiwan
JY,IWY,InterCaribbean Airways,Turks and Caicos Islands
JZ,JAP,JetSMART Per?,Peru
K3,TQN,Taquan Air,United States
K4,CKS,Kalitta Air,United States
K6,KHV,Air Cambodia,Cambodia
K9,TEZ,TezJet,Kyrgyzstan
KB,DRK,Druk Air,Bhutan
KC,KZR,Air Astana,Kazakhstan
KE,KAL,Korean Air,South Korea
KG,LYM,Key Lime Air,United States
KI,KAI,KaiserAir,United States
KJ,AIH,Air Incheon,South Korea
KL,KLM,KLM,Netherlands
KN,CUA,China United Airlines,China
KO,AER,Alaska Central Express,United States
KQ,KQA,Kenya Airways,Kenya
KR,KME,Cambodia Airways,Cambodia
KU,KAC,Kuwait Airways,Kuwait
KX,CAY,Cayman Airways,Cayman Islands
KY,KNA,Kunming Airlines,China
LA,LAN,LATAM Chile,Chile
LD,AHK,Air Hong Kong,Hong Kong
LF,VTE,Contour Airlines,United States
LG,LGL,Luxair,Luxembourg
LH,DLH,Lufthansa,Germany
5L,GAO,LIAT20,Antigua and Barbuda
LJ,JNA,Jin Air,South Korea
LL,LVL,Level,Spain
LM,LOG,Loganair,United Kingdom
LN,LAA,Libyan Arab Airlines,Libya
LO,LOT,LOT Polish Airlines,Poland
LP,LPE,LATAM Peru,Peru
LR,LRC,Avianca Costa Rica,Costa Rica
LS,EXS,Jet2.com,United Kingdom
LT,SNG,LJ Air,China
LU,LXP,LATAM Express,Chile
LX,SWR,Swiss International Air Lines,Switzerland
LY,ELY,El Al Israel Airlines,Israel
M5,KEN,Kenmore Air,United States
M6,AJT,Amerijet International,United States
M7,MAA,MasAir,Mexico
M9,MSI,Motor Sich Airlines,Ukraine
MB,MNB,MNG Airlines,Turkey
MD,MDG,Air Madagascar,Madagascar
ME,MEA,Middle East Airlines,Lebanon
MF,CXA,Xiamen Airlines,China
MH,MAS,Malaysia Airlines,Malaysia
MK,MAU,Air Mauritius,Mauritius
MO,CAV,Calm Air,Canada
MP,MPH,Martinair,Netherlands
MQ,ENY,Envoy Air,United States
MR,MML,Hunnu Air,Mongolia
MS,MSR,Egyptair,Egypt
MU,CES,China Eastern Airlines,China
MV,RML,Air Mediterranean,Greece
2M,MYD,Maya Island Air,Belize
9X,FDY,Mokulele Airlines,United States
MX,MXY,Breeze Airways,United States
MY,MWG,MASwings,Malaysia
N0,NBT,Norse Atlantic Airways,Norway
N2,QNK,Kabo Air,Nigeria
N4,NWS,Nordwind Airlines,Russia
N9,SHA,Shree Airlines,Nepal
NC,JTE,National Jet Express,Australia
NE,NMA,Nesma Airlines,Egypt
NF,AVN,Air Vanuatu,Vanuatu
NH,ANA,All Nippon Airways,Japan
NI,PGA,Portugalia Airlines,Portugal
NK,NKS,Spirit Airlines,United States
NO,NOS,Neos,Italy
NP,NIA,Nile Air,Egypt
NQ,AJX,Air Japan,Japan
NS,HBH,Hebei Airlines,China
NT,IBB,Binter Canarias,Spain
NU,JTA,Japan Transocean Air,Japan
NX,AMU,Air Macau,Macao
NZ,ANZ,Air New Zealand,New Zealand
O3,CSS,SF Airlines,China
O9,NOV,Nova Airways,Sudan
OA,OAL,Olympic Air,Greece
OB,BOV,Boliviana de Aviaci?n,Bolivia
OD,MXD,Malindo Airways,Malaysia
OH,JIA,PSA Airlines,United States
OJ,OLA,Overland Airways,Nigeria
OK,CSA,Czech Airlines,Czech Republic
OM,MGL,MIAT Mongolian Airlines,Mongolia
ON,RON,Nauru Airlines,Nauru
OO,SKW,SkyWest Airlines,United States
OQ,CQN,Chongqing Airlines,China
OR,TFL,TUI fly Netherlands,Netherlands
OS,AUA,Austrian Airlines,Austria
OU,CTN,Croatia Airlines,Croatia
OV,OMS,SalamAir,Oman
OY,ANS,Andes L?neas Aéreas,Argentina
OZ,AAR,Asiana Airlines,South Korea
P0,PFZ,Proflight Zambia,Zambia
P5,RPB,AeroRep?blica,Colombia
P6,PVG,Privilege Style,Spain
P8,SRN,SprintAir,Poland
PA,ABQ,Airblue,Pakistan
PB,SPR,Provincial Airlines,Canada
PC,PGT,Pegasus Airlines,Turkey
PD,POE,Porter Airlines,Canada
PE,PEV,People's,Austria
PG,BKP,Bangkok Airways,Thailand
PH,PAO,Polynesian Airlines,Samoa
PJ,SPM,Air Saint Pierre,France
PK,PIA,PIA,Pakistan
PM,TOS,Tropic Air,Belize
PN,CHB,West Air,China
PQ,SQP,SkyUp,Ukraine
PR,PAL,Philippine Airlines,Philippines
PS,AUI,Ukraine International Airlines,Ukraine
PV,SBU,St Barth Commuter,France
PW,PRF,Precision Air,Tanzania
PX,ANG,Air Niugini,Papua New Guinea
PY,SLM,Surinam Airways,Suriname
PZ,LAP,LATAM Paraguay,Paraguay
Q2,DQA,Maldivian,Maldives
QB,QSM,Qeshm Air,Iran
QC,CRC,Camair-Co,Cameroon
QF,QFA,Qantas,Australia
QH,BAV,Bamboo Airways,Vietnam
QL,LER,LASER Airlines,Venezuela
QP,AKJ,Akasa Air,India
QQ,UTY,Alliance Airlines,Australia
QR,QTR,Qatar Airways,Qatar
QS,TVS,Smartwings,Czech Republic
QU,UTN,Skyline Express Airlines,Ukraine
QV,LAO,Lao Airlines,Laos
QW,QDA,Qingdao Airlines,China
QX,QXE,Horizon Air,United States
QZ,AWQ,Indonesia AirAsia,Indonesia
R3,SYL,Yakutia Airlines,Russia
RA,RNA,Nepal Airlines,Nepal
RB,SYR,Syrian Air,Syrian Arab Republic
RC,FLI,Atlantic Airways,Faroe Islands
RF,EOK,Aero K,South Korea
RJ,RJA,Royal Jordanian,Jordan
RK,RUK,Ryanair UK,United Kingdom
RO,ROT,Tarom,Romania
RQ,KMF,Kam Air,Afghanistan
RR,RYS,Buzz,Poland
RS,ASV,Air Seoul,South Korea
RV,ROU,Air Canada Rouge,Canada
RX,RXI,Riyadh Air,Saudi Arabia
S4,RZO,Azores Airlines,Portugal
S5,SDG,Star Air (India),India
S7,SBI,S7 Airlines,Russia
SA,SAA,South African Airways,South Africa
SB,ACI,Aircalin,France
SC,CDG,Shandong Airlines,China
SD,SUD,Sudan Airways,Sudan
SF,DTH,Tassili Airlines,Algeria
SG,SEJ,Spicejet,India
SI,BCI,Blue Islands,United Kingdom
SK,SAS,Scandinavian Airlines,Sweden
SL,TLM,Thai Lion Mentari,Thailand
SM,MSC,Air Cairo,Egypt
SN,BEL,Brussels Airlines,Belgium
SO,HKA,Superior Aviation,United States
SP,SAT,SATA Air Acores,Portugal
SQ,SIA,Singapore Airlines,Singapore
SR,SDR,Sundair,Germany
SS,CRL,Corsairfly,France
SU,AFL,Aeroflot,Russia
SV,SVA,Saudia,Saudi Arabia
SX,TOR,FlyGTA Airlines,Canada
SY,SCX,Sun Country Airlines,United States
T3,EZE,Eastern Airways,United Kingdom
T5,TUA,Turkmenistan Airlines,Turkmenistan
T7,TJT,Twin Jet,France
TB,JAF,TUI fly Belgium,Belgium
TC,ATC,Air Tanzania,Tanzania
TE,IGA,Skytaxi,Poland
TG,THA,Thai Airways International,Thailand
TH,RMY,Raya Airways,Malaysia
TI,TWI,Tailwind Airlines,Turkey
TJ,GPD,Tradewind Aviation,United States
TK,THY,Turkish Airlines,Turkey
TL,ANO,Airnorth,Australia
TM,LAM,LAM Mozambique Airlines,Mozambique
TN,THT,Air Tahiti Nui,France
TO,TVF,Transavia France,France
TP,TAP,TAP Portugal,Portugal
TR,TGW,Scoot,Singapore
TS,TSC,Air Transat,Canada
TU,TAR,Tunisair,Tunisia
TW,TWB,T'way Air,Republic of Korea
TX,FWI,Air Caraïbes,France
TY,TPC,Air Calédonie,France
U2,EZY,easyJet UK,United Kingdom
U4,BHA,Buddha Air,Nepal
U6,SVR,Ural Airlines,Russia
UA,UAL,United Airlines,United States
UB,UBA,Myanma Airways,Myanmar
UG,TUX,Tunisair Express,Tunisia
UJ,LMU,AlMasria Universal Airlines,Egypt
UL,ALK,SriLankan Airlines,Sri Lanka
UM,AZW,Air Zimbabwe,Zimbabwe
UO,HKE,Hong Kong Express Airways,Hong Kong
UP,BHS,Bahamasair,Bahamas
UR,UGD,Uganda Airlines,Uganda
UT,UTA,UTair Aviation,Russia
UU,REU,Air Austral,France
UX,AEA,Air Europa,Spain
V0,VCV,Conviasa,Venezuela
V3,KRP,Carpatair,Romania
V7,VOE,Volotea,Spain
VA,VOZ,Virgin Australia,Australia
VB,VIV,VivaAerobus,Mexico
VC,VAL,Voyageur Airways,Canada
VF,TKJ,AJet,Turkey
VI,VDA,Volga-Dnepr Airlines,Russia
VJ,VJC,Vietjet Air,Vietnam
VL,LHX,City Airlines,Germany
VN,HVN,Vietnam Airlines,Vietnam
VR,TCV,TACV,Cape Verde
VS,VIR,Virgin Atlantic,United Kingdom
VT,VTA,Air Tahiti,French Polynesia
VU,VAG,Vietravel Airlines,Vietnam
VY,VLG,Vueling Airlines,Spain
VZ,TVJ,Thai Vietjet Air,Thailand
W4,WMT,Wizz Air Malta,Malta
W5,IRM,Mahan Air,Iran
W6,WZZ,Wizz Air,Hungary
W9,WUK,Wizz Air UK,United Kingdom
WA,KLC,KLM Cityhopper,Netherlands
WB,RWD,Rwandair Express,Rwanda
WG,SWG,Sunwing Airlines,Canada
WJ,JES,JetSMART Argentina,Argentina
WK,EDW,Edelweiss Air,Switzerland
WN,SWA,Southwest Airlines,United States
WR,WEN,WestJet Encore,Canada
WS,WJA,WestJet,Canada
WT,WSG,Wasaya Airways,Canada
WX,BCY,CityJet,Ireland
WY,OMA,Oman Air,Oman
X3,TUI,TUI fly Deutschland,Germany
X9,NVD,Avion Express,Lithuania
XC,CAI,Corendon Airlines,Turkey
XJ,TAX,Thai AirAsia X,Thailand
XK,CCM,Air Corsica,France
XP,VXP,Avelo Airlines,United States
XQ,SXS,SunExpress,Turkey
XY,KNE,Flynas,Saudi Arabia
Y4,VOI,Volaris,Mexico
Y7,TYA,NordStar,Russia
Y8,YZR,Suparna Airlines,China
YI,RSI,Air Sunshine,United States
YJ,AMV,AMC Airlines,Egypt
YL,LWA,Libyan Wings,Libya
YC,LLM,Yamal Airlines,Russia
YP,APZ,Air Premia,South Korea
YQ,LCT,TAR Aerolineas,Mexico
YT,NYT,Yeti Airlines,Nepal
YV,ASH,Mesa Airlines,United States
YW,ANE,Air Nostrum,Spain
YX,RPA,Republic Airways,United States
Z0,UBT,Norse Atlantic UK,United Kingdom
Z2,EZD,Philippines AirAsia,Philippines
ZB,ABN,Air Albania,Albania
ZD,EWR,Ewa Air,France
ZE,ESR,Eastar Jet,South Korea
ZG,TZP,Zipair Tokyo,Japan
ZH,CSZ,Shenzhen Airlines,China
ZL,RXA,Regional Express,Australia
ZP,AZP,Amaszonas Paraguay,Paraguay
ZT,AWC,Titan Airways,United Kingdom
ZW,AWI,Air Wisconsin,United States
